dataset,data_ids,n_valid_nsdgeneral_voxels,n_nan_nsdgeneral_voxels,mean_in_nsdgeneral,std_in_nsdgeneral,median_in_nsdgeneral
NSD,vmetric_TYPEA_ASSUMEHRF_subj01,29723,0,0.9664789438247681,0.04292721301317215,0.977665364742279
NSD,vmetric_TYPEA_ASSUMEHRF_subj02,25620,35,0.968781054019928,0.03771698474884033,0.9775234460830688
NSD,vmetric_TYPEA_ASSUMEHRF_subj03,28009,24,0.970008134841919,0.03229641169309616,0.976177453994751
NSD,vmetric_TYPEA_ASSUMEHRF_subj04,23127,28,0.9684092402458191,0.032785236835479736,0.9738686084747314
NSD mean,,,,0.9684193730354309,0.036431461572647095,0.9763087034225464
B5K,vmetric_TYPEA_ASSUMEHRF_CSI1,17107,9,0.9920626878738403,0.03844247758388519,0.9918828010559082
B5K,vmetric_TYPEA_ASSUMEHRF_CSI2,17461,20,0.9802573323249817,0.040118422359228134,0.9804306626319885
B5K,vmetric_TYPEA_ASSUMEHRF_CSI3,15941,13,1.0105241537094116,0.05119065195322037,1.0081076622009277
B5K,vmetric_TYPEA_ASSUMEHRF_CSI4,16693,14,1.0358082056045532,0.09763071686029434,1.03019380569458
B5K mean,,,,1.004663109779358,0.056845568120479584,1.00265371799469
NSD,vmetric_TYPEB_FITHRF_subj01,29723,0,0.9547514319419861,0.06022850051522255,0.9741676449775696
NSD,vmetric_TYPEB_FITHRF_subj02,25620,35,0.9515165090560913,0.06690910458564758,0.9740642309188843
NSD,vmetric_TYPEB_FITHRF_subj03,28009,24,0.954487681388855,0.05473789572715759,0.9716846942901611
NSD,vmetric_TYPEB_FITHRF_subj04,23127,28,0.9620165228843689,0.04612172767519951,0.9719504117965698
NSD mean,,,,0.9556930065155029,0.05699930712580681,0.9729667901992798
B5K,vmetric_TYPEB_FITHRF_CSI1,17107,9,0.9927898645401001,0.04133652150630951,0.9935970306396484
B5K,vmetric_TYPEB_FITHRF_CSI2,17461,20,0.9819145798683167,0.04258235916495323,0.9823136329650879
B5K,vmetric_TYPEB_FITHRF_CSI3,15941,13,1.0206724405288696,0.05900733917951584,1.016545057296753
B5K,vmetric_TYPEB_FITHRF_CSI4,16693,14,1.043882131576538,0.11048270016908646,1.036122441291809
B5K mean,,,,1.009814739227295,0.06335222721099854,1.007144570350647
NSD,vmetric_TYPEC_FITHRF_GLMDENOISE_subj01,29723,0,0.9531668424606323,0.0581991970539093,0.9714861512184143
NSD,vmetric_TYPEC_FITHRF_GLMDENOISE_subj02,25620,35,0.9495323300361633,0.06715162843465805,0.9720919728279114
NSD,vmetric_TYPEC_FITHRF_GLMDENOISE_subj03,28009,24,0.9493932127952576,0.05912080779671669,0.968981921672821
NSD,vmetric_TYPEC_FITHRF_GLMDENOISE_subj04,23127,28,0.958755612373352,0.049233708530664444,0.9696505665779114
NSD mean,,,,0.9527120590209961,0.05842633545398712,0.9705526232719421
B5K,vmetric_TYPEC_FITHRF_GLMDENOISE_CSI1,17107,9,0.9843592643737793,0.04502538964152336,0.9867505431175232
B5K,vmetric_TYPEC_FITHRF_GLMDENOISE_CSI2,17461,20,0.9915549755096436,0.045105673372745514,0.9921689629554749
B5K,vmetric_TYPEC_FITHRF_GLMDENOISE_CSI3,15941,13,1.0181682109832764,0.0711698904633522,1.0111820697784424
B5K,vmetric_TYPEC_FITHRF_GLMDENOISE_CSI4,16693,14,1.015433669090271,0.09795796871185303,1.0117535591125488
B5K mean,,,,1.002379059791565,0.0648147314786911,1.0004637241363525
NSD,vmetric_TYPED_FITHRF_GLMDENOISE_RR_subj01,29723,0,0.9451590776443481,0.06435269117355347,0.9652681946754456
NSD,vmetric_TYPED_FITHRF_GLMDENOISE_RR_subj02,25620,35,0.9397860169410706,0.07371269911527634,0.9658451080322266
NSD,vmetric_TYPED_FITHRF_GLMDENOISE_RR_subj03,28009,24,0.9424942135810852,0.06495806574821472,0.9640740156173706
NSD,vmetric_TYPED_FITHRF_GLMDENOISE_RR_subj04,23127,28,0.9598228335380554,0.05738578364253044,0.9756086468696594
NSD mean,,,,0.946815550327301,0.06510230898857117,0.9676989912986755
B5K,vmetric_TYPED_FITHRF_GLMDENOISE_RR_CSI1,17114,2,0.9843304753303528,0.046370308846235275,0.9871841073036194
B5K,vmetric_TYPED_FITHRF_GLMDENOISE_RR_CSI2,17469,12,0.9845613837242126,0.042147137224674225,0.9854579567909241
B5K,vmetric_TYPED_FITHRF_GLMDENOISE_RR_CSI3,15949,5,0.9758798480033875,0.045560073107481,0.9774206280708313
